rule_name,table_name,severity,record_id,issue_description,recommended_action
Opportunity should have an account when available,sales_pipeline,Medium,HAXMC4IX,Opportunity is missing an account value.,Review opportunities without accounts because they cannot be included in account-level reporting.
Opportunity should have an account when available,sales_pipeline,Medium,EG7OFLFR,Opportunity is missing an account value.,Review opportunities without accounts because they cannot be included in account-level reporting.
Opportunity should have an account when available,sales_pipeline,Medium,OLVI7L8M,Opportunity is missing an account value.,Review opportunities without accounts because they cannot be included in account-level reporting.
Opportunity should have an account when available,sales_pipeline,Medium,F5U1ACDD,Opportunity is missing an account value.,Review opportunities without accounts because they cannot be included in account-level reporting.
Opportunity should have an account when available,sales_pipeline,Medium,ZZY4516R,Opportunity is missing an account value.,Review opportunities without accounts because they cannot be included in account-level reporting.
Opportunity should have an account when available,sales_pipeline,Medium,GYB4W2AU,Opportunity is missing an account value.,Review opportunities without accounts because they cannot be included in account-level reporting.
Opportunity should have an account when available,sales_pipeline,Medium,CNM0H9FR,Opportunity is missing an account value.,Review opportunities without accounts because they cannot be included in account-level reporting.
Opportunity should have an account when available,sales_pipeline,Medium,UAE5ZC7O,Opportunity is missing an account value.,Review opportunities without accounts because they cannot be included in account-level reporting.
Opportunity should have an account when available,sales_pipeline,Medium,JUCNIG4H,Opportunity is missing an account value.,Review opportunities without accounts because they cannot be included in account-level reporting.
Opportunity should have an account when available,sales_pipeline,Medium,IBEUTCSW,Opportunity is missing an account value.,Review opportunities without accounts because they cannot be included in account-level reporting.
Opportunity should have an account when available,sales_pipeline,Medium,O3KC8QI8,Opportunity is missing an account value.,Review opportunities without accounts because they cannot be included in account-level reporting.
Opportunity should have an account when available,sales_pipeline,Medium,WALNFJ70,Opportunity is missing an account value.,Review opportunities without accounts because they cannot be included in account-level reporting.
Opportunity should have an account when available,sales_pipeline,Medium,ZOBJHMAF,Opportunity is missing an account value.,Review opportunities without accounts because they cannot be included in account-level reporting.
Opportunity should have an account when available,sales_pipeline,Medium,KD6MB4AP,Opportunity is missing an account value.,Review opportunities without accounts because they cannot be included in account-level reporting.
Opportunity should have an account when available,sales_pipeline,Medium,A194RP0I,Opportunity is missing an account value.,Review opportunities without accounts because they cannot be included in account-level reporting.
